127.0.0.1 - - [28/May/2017:23:00:09 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [28/May/2017:23:00:13 +0530] "GET /24-Spring-Web-App/ HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [28/May/2017:23:00:18 +0530] "GET /24-Spring-Web-App/hello HTTP/1.1" 200 34
0:0:0:0:0:0:0:1 - - [28/May/2017:23:01:25 +0530] "GET /24-Spring-Web-App/hello HTTP/1.1" 200 34
0:0:0:0:0:0:0:1 - - [28/May/2017:23:01:27 +0530] "GET /24-Spring-Web-App/hello HTTP/1.1" 200 34
0:0:0:0:0:0:0:1 - - [28/May/2017:23:01:39 +0530] "GET /24-Spring-Web-App/hello HTTP/1.1" 200 9
0:0:0:0:0:0:0:1 - - [28/May/2017:23:01:58 +0530] "GET /24-Spring-Web-App/hello HTTP/1.1" 200 34
0:0:0:0:0:0:0:1 - - [28/May/2017:23:02:55 +0530] "GET /24-Spring-Web-App/hello HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [28/May/2017:23:03:11 +0530] "GET /24-Spring-Web-App/doj/hello HTTP/1.1" 200 34
0:0:0:0:0:0:0:1 - - [28/May/2017:23:03:55 +0530] "GET /24-Spring-Web-App/ HTTP/1.1" 200 34
0:0:0:0:0:0:0:1 - - [28/May/2017:23:04:09 +0530] "GET /24-Spring-Web-App/ HTTP/1.1" 200 34
0:0:0:0:0:0:0:1 - - [28/May/2017:23:04:17 +0530] "GET /24-Spring-Web-App/hello HTTP/1.1" 200 34
0:0:0:0:0:0:0:1 - - [28/May/2017:23:04:40 +0530] "GET /24-Spring-Web-App/index HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [28/May/2017:23:04:49 +0530] "GET /24-Spring-Web-App/index HTTP/1.1" 200 34
0:0:0:0:0:0:0:1 - - [28/May/2017:23:08:14 +0530] "GET /24-Spring-Web-App/index HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [28/May/2017:23:08:33 +0530] "GET /24-Spring-Web-App/ HTTP/1.1" 200 9
0:0:0:0:0:0:0:1 - - [28/May/2017:23:10:35 +0530] "GET /24-Spring-Web-App/ HTTP/1.1" 200 34
0:0:0:0:0:0:0:1 - - [28/May/2017:23:12:02 +0530] "GET /24-Spring-Web-App/ HTTP/1.1" 200 34
0:0:0:0:0:0:0:1 - - [28/May/2017:23:13:20 +0530] "GET /24-Spring-Web-App/hello?name=Sri HTTP/1.1" 200 34
0:0:0:0:0:0:0:1 - - [28/May/2017:23:14:29 +0530] "GET /24-Spring-Web-App/hello?name=Sri HTTP/1.1" 200 34
0:0:0:0:0:0:0:1 - - [28/May/2017:23:14:33 +0530] "GET /24-Spring-Web-App/hello?name=Sri HTTP/1.1" 200 38
0:0:0:0:0:0:0:1 - - [28/May/2017:23:15:38 +0530] "GET /24-Spring-Web-App/hello?name=Sri&surname=Raju HTTP/1.1" 200 43
103.214.170.64 - - [28/May/2017:23:16:33 +0530] "GET /script/ HTTP/1.1" 404 1008
0:0:0:0:0:0:0:1 - - [28/May/2017:23:18:16 +0530] "GET /24-Spring-Web-App/hello?name=Sri&surname=Raju HTTP/1.1" 200 43
0:0:0:0:0:0:0:1 - - [28/May/2017:23:18:18 +0530] "GET /24-Spring-Web-App/hello?name=Sri&surname=Raju HTTP/1.1" 200 43
0:0:0:0:0:0:0:1 - - [28/May/2017:23:18:28 +0530] "GET /24-Spring-Web-App/hello?name=Sri&surname=Raju HTTP/1.1" 200 43
